IWGP|池袋ウエストゲートポーカー|西池袋3-26-6 ABCキッチン2階
アイドルリーグ||西池袋1-40-1 大昇ビル2階
クラブアルカナ||西池袋1-29-3 ロイヤル西池袋5階
R||池袋2-4-3 江戸半第3パレス3階
あのころメモリーズ|コンカフェ Anokoro Memories|西池袋1-34-5 アオイビル地下1階
AGASA||西池袋1-36-10
エアポートアイケービー|AIR PORT IKB|西池袋1-36-10
アイリス||池袋2-48-2 ザバレルビル池袋8階
アルドーレ||西池袋1-41-2 マキビル2階
ラウンジアクター||池袋2-10-3 第一絆ビル4階
アタラス|ATARAS - アタラス|池袋2-14-11 ローヤルハイツ102
アズール||池袋2-41-2 葉山ビル6階
あふたーすくーる本店||池袋2-47-1 白鳳池袋第12ビル1階
アンダードッグ|Under Dog Poker|池袋2-42-7 マキタビル地下1階
アーバンリリアン|Aravan Lilian|東池袋1-4-7 三径33ビル7階
アテナ池袋||池袋2-12-13 12ビル4階
アンティーク||東池袋1-38-4
アルマージ||池袋2-45-1 アークシティ池袋2階
あにぽり 池袋店||池袋2-48-2 バレル池袋4階
アイスプリンス||池袋2-7-5 第三川口ビル5階
アリカ|バーARIKA|池袋2-12-1 大晃第2ビル2階
クラブアミューズ||池袋2-2-7 本州ビル3階
アウル|OWL|西池袋1-23-1 エルクルーセ7階
アマン||西池袋1-41-5 TOPビル4階
アルカロイド||西池袋1-41-8 KS2ビル地下1階
Bar15 イチゴ||池袋2-10-3 第一絆ビル3階
池袋クラス||西池袋1-35-3 オリヂン1階
BARイビザトウキョウ||池袋2-12-13 12ビル101
イクス|Bar IXS|池袋2-3-3 ゆう文ビル2階
イザカバー||西池袋1-41-1 天幸ビル4階
イケショウ||池袋2-5-4 壱ビル地下1階
イーウェーブ|EWAVE|池袋2-47-12 第2絆ビル7階
池猫|池猫 ~池袋の猫たち~ café&bar|池袋2-53-10 第10松本ビル6階
苺泥棒||池袋2-42-1 嶺岡ビル5階
1年5組||西池袋1-41-5 TOP池袋ビル5階
Eねぇ||西池袋3-31-15 ロイヤルプラザII6階
バーイロハ||西池袋1-31-6 地下1階
ウォンテッド||池袋1-1-4 第3絆ビル8階
ウルトラレアキス||池袋2-4-3 江戸半第3パレス4階
ウェーブ|WAVE|池袋2-42-7 マキタビル地下1階
エルフ|ELF|西池袋1-38-6 TYビル6階
エルトウキョウ||池袋2-10-3 第一絆ビル2階
バーラウンジエース||池袋2-48-2 バレルビル6階
エムズ|Ms|池袋2-5-9 あけぼのビル1階
ラピス||池袋2-53-1 第10マツモトビル6
ミセスジェイ||西池袋1-41-8 ksビル2F
ラス||池袋2-10-3 第1絆ビルB1
ラナ||第3絆ビル6F
プチミニヨン||東池袋1-28-6
ホテルトトロ||池袋2-64-15
シュラーナ|Shula'na Sports Concept Bar|西池袋1-38-6 TYビル5F
新珍味||西池袋1-23-4
GOLD CHIHUAHUA 2nd||池袋2-10-8 ダイコウ8ビル8F
ナタリス|NATALIS(ナタリス)|西池袋1-41-1 天幸ビル6F
隠れBARギルド||池袋2-56-8 ホワイトBL地下1F
百華|Hyakka|池袋2-2-7 本州ビル3F
ラチャンス|La Chance|池袋2-5-9 あけぼのビル2階
アミューズメントバーピノ|AmusementBar Pino by SABON|池袋2-4-6 徳永第三ビル3F
みつばちマーヤZ||西池袋1-39-4 第1大谷ビル地下1階
麻雀チャイナ池袋店||東池袋1-2-4 TⅡビル3F
麺処花田池袋店||東池袋1-23-8 東池袋ISKビル
クラブ美南||西池袋3-29-3 梅本ビル2階C
セカンド|SECOND|東池袋1-7-8 大国屋10池袋ビル6F
ハローヘブン|Hello Heaven|西池袋1-34-5 青井ビル3F
ミュウミュウ||西池袋1-38-1 池袋YSステージ5F
夢幻泡影||池袋2-68-12 池袋グランディアビル4F
不死鳥||池袋2-13-1 池袋岸野ビルB1F
チル|Chill|池袋2-8-5 梶ビルB1F
ビーナス|VENUS|西池袋1-41-2 池袋東通ビル4F
ミカシータ|Bar Mi Casita|池袋1-1-3 豊ビルB1F
ダリア|DAHLIA|東池袋1-13-13 東京第3ビル3階
レガート||池袋2-48-2 ザバレルビル池袋
天使ドットコム|天使.com|西池袋1-41-6 エスペランザ池袋4F
ココット|cocotto|西池袋1-39-1 ウエストコア6階
ナイトブラッド|Night Blood|池袋2-12-13 12ビル5F
リゾートセカンド|ガールズバーリゾートセカンド|西池袋1-44-6 邦正ビル6F
ニューカワイイ|NEW KAWAII|西池袋1-41-3 池袋東通ビル地下1階
ポレポレ||池袋2-4-1 越路池袋ビル4階
プチミニアカデミー|Puchimini academy|池袋2-13-8 光陽ビルB1F
